"","population","CU","PFMA","Latitude","Longitude","region","lon","lat"
"1","aaltanhash","northern_coastal",6,53.147066,-128.476787,"Inner Waters",-128.476787,53.147066
"2","arnoup","hecate_strait_mainland",6,52.97249,-128.681396,"Hecate Lowlands",-128.681396,52.97249
"3","babine_fence","middle_skeena",4,55.41497,-126.684167,"Skeena",-126.684167,55.41497
"4","bear","upper_skeena",4,56.279552,-126.970973,"Skeena",-126.970973,56.279552
"5","bella_coola","bella_coola_dean",8,52.37848,-126.77026,"Central Coast (South)",-126.77026,52.37848
"6","belowe_ck","hecate_strait_mainland",5,53.476368,-129.475986,"Hecate Lowlands",-129.475986,53.476368
"7","brim","brim_wahoo",6,53.510512,-128.365329,"Inner Waters",-128.365329,53.510512
"8","cascade","northern_coastal",8,52.616512,-127.627273,"Central Coast (South)",-127.627273,52.616512
"9","chuckwalla","rivers_inlet",9,51.728152,-127.338953,"Central Coast (South)",-127.338953,51.728152
"10","dala","northern_coastal",6,53.848602,-128.513346,"Inner Waters",-128.513346,53.848602
"11","damshilgwit","upper_skeena",4,56.397148,-127.922921,"Skeena",-127.922921,56.397148
"12","deena","haida_gwaii_east",2,53.144494,-132.139538,"Haida Gwaii",-132.139538,53.144494
"13","diskangieg","lower_nass",3,55.037293,-129.550233,"Nass",-129.550233,55.037293
"14","docee","smith_inlet",10,51.232829,-127.339217,"Central Coast (South)",-127.339217,51.232829
"15","east_arm","hecate_strait_mainland",6,53.161188,-128.890798,"Hecate Lowlands",-128.890798,53.161188
"16","ecstall","lower_skeena",4,54.168033,-129.952527,"Skeena",-129.952527,54.168033
"17","elcho","northern_coastal",8,52.400889,-127.540052,"Central Coast (South)",-127.540052,52.400889
"18","evelyn_ck","northern_coastal",6,53.584754,-128.954117,"Inner Waters",-128.954117,53.584754
"19","exchamsiks","lower_skeena",4,54.332238,-129.295317,"Skeena",-129.295317,54.332238
"20","exstew","lower_skeena",4,54.398615,-129.058178,"Skeena",-129.058178,54.398615
"21","foch_ck","douglas_channel_kitimat",6,53.832485,-129.093008,"Inner Waters",-129.093008,53.832485
"22","green","mussel_kynoch",6,52.99582,-128.380992,"Inner Waters",-128.380992,52.99582
"23","hartleybay_ck","hecate_strait_mainland",6,53.425488,-129.249719,"Hecate Lowlands",-129.249719,53.425488
"24","hugh_ck","northern_coastal",6,53.726858,-128.776498,"Inner Waters",-128.776498,53.726858
"25","kadeen","lower_skeena",4,54.149883,-129.19753,"Skeena",-129.19753,54.149883
"26","kasiks","lower_skeena",4,54.313008,-129.398415,"Skeena",-129.398415,54.313008
"27","kemano","northern_coastal",6,53.481939,-128.13089,"Inner Waters",-128.13089,53.481939
"28","kildala","northern_coastal",6,53.827165,-128.4871,"Inner Waters",-128.4871,53.827165
"29","kiltush","northern_coastal",6,53.323299,-128.472049,"Inner Waters",-128.472049,53.323299
"30","kiskosh_ck","northern_coastal",6,53.576775,-129.349816,"Inner Waters",-129.349816,53.576775
"31","kitwanga","middle_skeena",4,55.102615,-128.085474,"Skeena",-128.085474,55.102615
"32","lachmach","portland_observatory",3,54.301917,-129.981113,"Nass",-129.981113,54.301917
"33","martin","northern_coastal",8,52.360305,-127.722858,"Central Coast (South)",-127.722858,52.360305
"34","meziadin","upper_nass",3,56.023899,-129.148597,"Nass",-129.148597,56.023899
"35","nangeese_kspx","middle_skeena",4,55.679036,-128.350799,"Skeena",-128.350799,55.679036
"36","necleetsconnay","bella_coola_dean",8,52.386986,-126.764451,"Central Coast (South)",-126.764451,52.386986
"37","nias","hecate_strait_mainland",6,52.923128,-128.744071,"Hecate Lowlands",-128.744071,52.923128
"38","pallant_ck","haida_gwaii_east",2,53.051709,-132.033046,"Haida Gwaii",-132.033046,53.051709
"39","paril","northern_coastal",6,53.488558,-128.76585,"Inner Waters",-128.76585,53.488558
"40","quaal","hecate_strait_mainland",6,53.648478,-129.303326,"Hecate Lowlands",-129.303326,53.648478
"41","quartcha","northern_coastal",7,52.515456,-127.841264,"Central Coast (South)",-127.841264,52.515456
"42","riordan","northern_coastal",6,53.432814,-128.959116,"Inner Waters",-128.959116,53.432814
"43","roscoe","northern_coastal",7,52.47818,-127.743742,"Central Coast (South)",-127.743742,52.47818
"44","salloomt","bella_coola_dean",8,52.398155,-126.538102,"Central Coast (South)",-126.538102,52.398155
"45","sylvia_ck","hecate_strait_mainland",5,53.505139,-129.56012,"Hecate Lowlands",-129.56012,53.505139
"46","tlell","haida_gwaii_graham_isl_low",2,53.60911,-131.93633,"Haida Gwaii",-131.93633,53.60911
"47","tsimtack_lk","hecate_strait_mainland",5,53.381286,-129.466329,"Hecate Lowlands",-129.466329,53.381286
"48","tyler_ck","hecate_strait_mainland",6,52.853394,-128.785887,"Hecate Lowlands",-128.785887,52.853394
"49","wahoo","brim_wahoo",6,53.492242,-128.118587,"Inner Waters",-128.118587,53.492242
"50","west_arm","hecate_strait_mainland",6,53.137573,-128.976896,"Hecate Lowlands",-128.976896,53.137573
"51","zolzap","lower_nass",3,55.16591,-129.277934,"Nass",-129.277934,55.16591
"52","zymagotitz","lower_skeena",4,54.49179,-128.727914,"Skeena",-128.727914,54.49179
